sub_num,stim_type,voltage,p1_visibility
1013,f,5.70091902007853,noticed
1015,f,2.5177904689634,ib
1016,f,4.9971669238032,ib
10,f,2.42693611633515,noticed
11,f,2.26352579914129,ib
12,f,1.27763860982117,ib
15,f,3.701435022506,noticed
16,f,9.28556670982563,ib
17,f,5.78926395408476,ib
18,f,8.56665216442941,ib
1,f,6.93164201440186,noticed
5,f,-0.0914034792390601,noticed
6,f,0.626248332255452,ib
7,f,-0.279507622594151,ib
8,f,9.04110633283658,noticed
9,f,5.16925793855406,ib
1013,h,6.9576022142492,noticed
1015,h,2.99416885085177,ib
1016,h,5.50462240039034,ib
10,h,1.88327251453148,noticed
11,h,1.77258028661891,ib
12,h,1.55231524689439,ib
15,h,4.63767234459306,noticed
16,h,9.01308390318664,ib
17,h,6.38124849816707,ib
18,h,9.55786463461677,ib
1,h,6.70460920580687,noticed
5,h,0.357921026310017,noticed
6,h,0.507781774603134,ib
7,h,-0.511687284242811,ib
8,h,9.04278072513684,noticed
9,h,4.77216980074827,ib
