paradigm,visibility,stim_type,voltage,sub_num,IB
masking,visible,f,-5.708750628,sub10,no
masking,visible,f,0.577245143,sub10,no
masking,visible,f,-6.772194975,sub10,no
masking,visible,f,-12.75605311,sub10,no
masking,visible,f,-6.262726241,sub10,no
masking,visible,f,-6.183592073,sub10,no
masking,visible,f,-11.93249613,sub10,no
masking,visible,f,-0.017314335,sub10,no
masking,visible,f,0.504698699,sub10,no
masking,visible,f,-12.71925615,sub10,no
masking,visible,f,-10.70504054,sub10,no
masking,visible,f,-9.097729817,sub10,no
masking,visible,f,-6.388108622,sub10,no
masking,visible,f,-8.66595518,sub10,no
masking,visible,f,-9.243086149,sub10,no
masking,visible,f,-7.093080906,sub10,no
masking,visible,f,-9.792837777,sub10,no
masking,visible,f,4.07999812,sub10,no
masking,visible,f,3.294763932,sub10,no
masking,visible,f,-0.383162394,sub10,no
masking,visible,f,-9.844252173,sub10,no
masking,visible,f,-6.390206151,sub10,no
masking,visible,f,-12.88857177,sub10,no
masking,visible,f,0.137964869,sub10,no
masking,visible,f,-6.479797463,sub10,no
masking,visible,f,-5.326745727,sub10,no
masking,visible,f,-11.84621866,sub10,no
masking,visible,f,-10.13525053,sub10,no
masking,visible,f,-1.753919415,sub10,no
masking,visible,f,0.857412477,sub10,no
masking,visible,f,-3.375496174,sub10,no
masking,visible,f,4.088160406,sub10,no
masking,visible,f,-13.22004339,sub10,no
masking,visible,f,-4.898478562,sub10,no
masking,visible,f,-3.15389973,sub10,no
masking,visible,f,-2.283468401,sub10,no
masking,visible,f,-1.334716763,sub10,no
masking,visible,f,-6.828554753,sub10,no
masking,visible,f,-9.86395476,sub10,no
masking,visible,f,-7.352005176,sub10,no
masking,visible,f,-12.33560071,sub10,no
masking,visible,f,-0.158104835,sub10,no
masking,visible,f,6.149091613,sub10,no
masking,visible,f,5.865784221,sub10,no
masking,visible,f,1.676582953,sub10,no
masking,visible,f,-4.335894776,sub10,no
masking,visible,f,-0.860557343,sub10,no
masking,visible,f,-9.435126119,sub10,no
masking,visible,f,-2.245269259,sub10,no
masking,visible,f,-4.00410765,sub10,no
masking,visible,f,-3.954347697,sub10,no
masking,visible,f,5.00659282,sub10,no
masking,visible,f,3.296989254,sub10,no
masking,visible,f,-6.827013302,sub10,no
masking,visible,f,-3.930614757,sub10,no
masking,visible,f,3.309886398,sub10,no
masking,visible,f,-0.289670314,sub10,no
masking,visible,f,-0.369808567,sub10,no
masking,visible,f,-3.493150199,sub10,no
masking,visible,f,-0.496526001,sub10,no
masking,visible,f,-4.770970663,sub10,no
masking,visible,f,-12.28573609,sub10,no
masking,visible,f,1.141376897,sub10,no
masking,visible,f,-4.450434123,sub10,no
masking,visible,f,-6.300800819,sub10,no
masking,visible,f,-1.464158658,sub10,no
