paradigm,visibility,stim_type,voltage,sub_num,IB
masking,visible,f,-8.45610786,sub10,no
masking,visible,f,-5.273698832,sub10,no
masking,visible,f,-15.82806943,sub10,no
masking,visible,f,-20.27955461,sub10,no
masking,visible,f,-9.520107685,sub10,no
masking,visible,f,-17.6775012,sub10,no
masking,visible,f,-13.94476617,sub10,no
masking,visible,f,-5.78503215,sub10,no
masking,visible,f,-6.139763928,sub10,no
masking,visible,f,-14.2688577,sub10,no
masking,visible,f,-17.33960722,sub10,no
masking,visible,f,-12.10158462,sub10,no
masking,visible,f,-12.60474528,sub10,no
masking,visible,f,-13.21081595,sub10,no
masking,visible,f,-16.7095943,sub10,no
masking,visible,f,-13.54323133,sub10,no
masking,visible,f,-15.77965513,sub10,no
masking,visible,f,0.111046625,sub10,no
masking,visible,f,0.462644891,sub10,no
masking,visible,f,-8.084349578,sub10,no
masking,visible,f,-22.83473342,sub10,no
masking,visible,f,-12.4995686,sub10,no
masking,visible,f,-18.87164599,sub10,no
masking,visible,f,-3.991245527,sub10,no
masking,visible,f,-10.87388333,sub10,no
masking,visible,f,-15.27627481,sub10,no
masking,visible,f,-14.3214641,sub10,no
masking,visible,f,-12.83525663,sub10,no
masking,visible,f,-7.537403629,sub10,no
masking,visible,f,-7.033915694,sub10,no
masking,visible,f,-6.987674782,sub10,no
masking,visible,f,-3.82074282,sub10,no
masking,visible,f,-15.39522685,sub10,no
masking,visible,f,-8.857883556,sub10,no
masking,visible,f,-8.462779192,sub10,no
masking,visible,f,-8.385126209,sub10,no
masking,visible,f,-2.683603057,sub10,no
masking,visible,f,-12.76878569,sub10,no
masking,visible,f,-15.97800746,sub10,no
masking,visible,f,-11.34022013,sub10,no
masking,visible,f,-16.12639847,sub10,no
masking,visible,f,-2.976575177,sub10,no
masking,visible,f,3.906143595,sub10,no
masking,visible,f,-0.011606085,sub10,no
masking,visible,f,-1.67107221,sub10,no
masking,visible,f,-9.237596551,sub10,no
masking,visible,f,4.673018693,sub10,no
masking,visible,f,-17.22750741,sub10,no
masking,visible,f,-7.497232478,sub10,no
masking,visible,f,-10.77796779,sub10,no
masking,visible,f,-8.029656722,sub10,no
masking,visible,f,0.552756941,sub10,no
masking,visible,f,-2.666444853,sub10,no
masking,visible,f,-12.53170257,sub10,no
masking,visible,f,-3.286803375,sub10,no
masking,visible,f,-1.714913047,sub10,no
masking,visible,f,-2.474240868,sub10,no
masking,visible,f,-6.447574555,sub10,no
masking,visible,f,-11.13452583,sub10,no
masking,visible,f,-9.249292798,sub10,no
masking,visible,f,-7.898163235,sub10,no
masking,visible,f,-14.95085082,sub10,no
masking,visible,f,-1.058853402,sub10,no
masking,visible,f,-7.229620417,sub10,no
masking,visible,f,-6.911038552,sub10,no
masking,visible,f,-4.038442416,sub10,no
masking,visible,f,-7.515626568,sub10,no
masking,visible,f,-8.883460211,sub10,no
masking,visible,f,-6.470657028,sub10,no
masking,visible,f,-5.88972522,sub10,no
