paradigm,visibility,stim_type,voltage,sub_num,,visible_face,invisible_face,visible_house,invisible_house
masking,visible,f,-8.558622928,sub10,,-8.558622928,0.252306395,-6.452712821,-0.375758227
masking,visible,f,-1.814558964,sub11,,-1.814558964,-0.996949539,0.25383435,-1.231510932
masking,visible,f,-1.258014838,sub12,,-1.258014838,0.361856146,-0.07440166,0.004278823
masking,visible,f,-2.243470265,sub14,,-2.243470265,-0.25080041,-1.816222697,-0.469715445
masking,visible,f,-2.360912248,sub15,,-2.360912248,-1.528262672,-1.046154582,-1.131391521
masking,visible,f,2.515748508,sub16,,2.515748508,1.466863117,3.794110238,1.036419582
masking,visible,f,-6.20323308,sub17,,-6.20323308,-1.425429038,-7.136333621,-1.360741629
masking,visible,f,-3.599339615,sub18,,-3.599339615,0.544616289,-2.623094609,0.24832709
masking,visible,f,-4.534256314,sub1,,-4.534256314,-1.131049792,-2.6802083,0.156009364
masking,visible,f,-1.604633306,sub3,,-1.604633306,-1.417695612,-0.834532342,-1.009071944
masking,visible,f,-3.516212895,sub5,,-3.516212895,0.196748627,-2.42429597,0.252073529
masking,visible,f,3.911290182,sub6,,3.911290182,-0.646388865,4.663632615,-0.666250597
masking,visible,f,-1.931907176,sub7,,-1.931907176,0.683804819,-1.621725662,1.381366485
masking,visible,f,1.299250175,sub8,,1.299250175,-1.071240007,1.586798768,-1.360049598
masking,visible,f,0.578219427,sub9,,0.578219427,-0.061505892,0.272117368,-0.222230689
masking,visible,h,-6.452712821,sub10,,,,,
masking,visible,h,0.25383435,sub11,,,,,
masking,visible,h,-0.07440166,sub12,,,,,
masking,visible,h,-1.816222697,sub14,,,,,
masking,visible,h,-1.046154582,sub15,,,,,
masking,visible,h,3.794110238,sub16,,,,,
masking,visible,h,-7.136333621,sub17,,,,,
masking,visible,h,-2.623094609,sub18,,,,,
masking,visible,h,-2.6802083,sub1,,,,,
masking,visible,h,-0.834532342,sub3,,,,,
masking,visible,h,-2.42429597,sub5,,,,,
masking,visible,h,4.663632615,sub6,,,,,
masking,visible,h,-1.621725662,sub7,,,,,
masking,visible,h,1.586798768,sub8,,,,,
masking,visible,h,0.272117368,sub9,,,,,
masking,invisible,f,0.252306395,sub10,,,,,
masking,invisible,f,-0.996949539,sub11,,,,,
masking,invisible,f,0.361856146,sub12,,,,,
masking,invisible,f,-0.25080041,sub14,,,,,
masking,invisible,f,-1.528262672,sub15,,,,,
masking,invisible,f,1.466863117,sub16,,,,,
masking,invisible,f,-1.425429038,sub17,,,,,
masking,invisible,f,0.544616289,sub18,,,,,
masking,invisible,f,-1.131049792,sub1,,,,,
masking,invisible,f,-1.417695612,sub3,,,,,
masking,invisible,f,0.196748627,sub5,,,,,
masking,invisible,f,-0.646388865,sub6,,,,,
masking,invisible,f,0.683804819,sub7,,,,,
masking,invisible,f,-1.071240007,sub8,,,,,
masking,invisible,f,-0.061505892,sub9,,,,,
masking,invisible,h,-0.375758227,sub10,,,,,
masking,invisible,h,-1.231510932,sub11,,,,,
masking,invisible,h,0.004278823,sub12,,,,,
masking,invisible,h,-0.469715445,sub14,,,,,
masking,invisible,h,-1.131391521,sub15,,,,,
masking,invisible,h,1.036419582,sub16,,,,,
masking,invisible,h,-1.360741629,sub17,,,,,
masking,invisible,h,0.24832709,sub18,,,,,
masking,invisible,h,0.156009364,sub1,,,,,
masking,invisible,h,-1.009071944,sub3,,,,,
masking,invisible,h,0.252073529,sub5,,,,,
masking,invisible,h,-0.666250597,sub6,,,,,
masking,invisible,h,1.381366485,sub7,,,,,
masking,invisible,h,-1.360049598,sub8,,,,,
masking,invisible,h,-0.222230689,sub9,,,,,
